,run,epoch,loss,train_accuracy,epoch duration,run duration,test_accuracy,lr,batch_size,momentum
0,1,1,2.158780867614746,0.18034,11.026487112045288,12.789798259735107,0.2651,0.01,128,0.9
1,1,2,1.7912215817260742,0.34978,11.054148197174072,23.866885900497437,0.4103,0.01,128,0.9
2,1,3,1.54348263671875,0.44022,11.188050270080566,35.07887840270996,0.4674,0.01,128,0.9
3,1,4,1.436818646850586,0.48142,11.234763145446777,46.338573932647705,0.5012,0.01,128,0.9
4,1,5,1.372870252685547,0.50712,11.010557413101196,57.36705994606018,0.5151,0.01,128,0.9
5,1,6,1.3081086135864257,0.53244,11.069399118423462,68.45981621742249,0.5277,0.01,128,0.9
6,1,7,1.256713338317871,0.5509,10.798080205917358,79.27886390686035,0.543,0.01,128,0.9
7,1,8,1.222757160949707,0.5644,10.81749176979065,90.11730027198792,0.5539,0.01,128,0.9
8,1,9,1.184204515838623,0.58004,10.825727462768555,100.9809238910675,0.5511,0.01,128,0.9
9,1,10,1.145282939453125,0.59474,10.809094667434692,111.80697393417358,0.561,0.01,128,0.9
10,2,1,2.248059046630859,0.15038,9.740535736083984,10.101577520370483,0.2208,0.01,256,0.9
11,2,2,1.9840125439453125,0.26976,9.715044975280762,19.83757448196411,0.3144,0.01,256,0.9
12,2,3,1.728086029663086,0.3721,9.685098648071289,29.543588161468506,0.4111,0.01,256,0.9
13,2,4,1.557854810180664,0.43578,9.74194049835205,39.30449914932251,0.4575,0.01,256,0.9
14,2,5,1.4710383062744141,0.4731,9.692108631134033,49.01853585243225,0.4874,0.01,256,0.9
15,2,6,1.4161485314941407,0.49464,9.699062585830688,58.73851823806763,0.5073,0.01,256,0.9
16,2,7,1.3638379077148437,0.51438,9.717998504638672,68.47847175598145,0.5255,0.01,256,0.9
17,2,8,1.319863720703125,0.53262,9.710034370422363,78.20645785331726,0.5365,0.01,256,0.9
18,2,9,1.276587643432617,0.549,9.673132419586182,87.901531457901,0.5475,0.01,256,0.9
19,2,10,1.2416092401123047,0.5614,9.76589822769165,97.68538212776184,0.5576,0.01,256,0.9
20,3,1,2.311164743652344,0.10324,9.401903629302979,10.023242950439453,0.1004,0.01,512,0.9
21,3,2,2.3069965209960936,0.13004,9.258397817611694,19.303595781326294,0.1209,0.01,512,0.9
22,3,3,2.2728292504882814,0.13266,9.265279769897461,28.59077024459839,0.183,0.01,512,0.9
23,3,4,2.111751875,0.21744,9.777848720550537,38.39156746864319,0.2409,0.01,512,0.9
24,3,5,2.017000732421875,0.24774,9.347072124481201,47.78251767158508,0.2592,0.01,512,0.9
25,3,6,1.9242985949707032,0.28668,9.609138488769531,57.40363693237305,0.3235,0.01,512,0.9
26,3,7,1.79163876953125,0.3481,9.592032194137573,67.02359867095947,0.3738,0.01,512,0.9
27,3,8,1.7069132189941407,0.37822,9.437206268310547,76.49870467185974,0.3921,0.01,512,0.9
28,3,9,1.65254248046875,0.39654,9.57165002822876,86.09427523612976,0.4016,0.01,512,0.9
29,3,10,1.6194628161621094,0.40784,9.649190664291382,95.77376389503479,0.4117,0.01,512,0.9
30,4,1,2.3040699530029296,0.12804,11.349626064300537,11.631906032562256,0.1071,0.001,128,0.9
31,4,2,2.2980258709716797,0.1048,11.151177406311035,22.893674612045288,0.1228,0.001,128,0.9
32,4,3,2.278113193359375,0.12346,11.09931755065918,34.021915435791016,0.147,0.001,128,0.9
33,4,4,2.206691892089844,0.17818,11.179093360900879,45.22396111488342,0.1863,0.001,128,0.9
34,4,5,2.1608105328369143,0.20036,11.038861989974976,56.284785985946655,0.2105,0.001,128,0.9
35,4,6,2.1152879751586915,0.22886,11.182493209838867,67.47924661636353,0.2535,0.001,128,0.9
36,4,7,2.010323709106445,0.27016,11.10816240310669,78.60637211799622,0.2886,0.001,128,0.9
37,4,8,1.9641912567138673,0.28698,11.359464406967163,90.00273942947388,0.3059,0.001,128,0.9
38,4,9,1.9209933529663086,0.3062,10.885714530944824,100.91240859031677,0.3255,0.001,128,0.9
39,4,10,1.869684097595215,0.32974,11.03947639465332,111.9718337059021,0.3392,0.001,128,0.9
40,5,1,2.312644061279297,0.0998,10.02422046661377,10.417170286178589,0.0999,0.001,256,0.9
41,5,2,2.3114166955566406,0.10382,9.780842304229736,20.21893310546875,0.1011,0.001,256,0.9
42,5,3,2.3104611462402342,0.12194,9.86462140083313,30.11247730255127,0.1153,0.001,256,0.9
43,5,4,2.3095036889648437,0.13868,9.785831451416016,39.92822813987732,0.1336,0.001,256,0.9
44,5,5,2.3083120373535158,0.15002,9.7549147605896,49.70109462738037,0.1472,0.001,256,0.9
45,5,6,2.306293348388672,0.1712,9.601347923278809,59.32538676261902,0.1759,0.001,256,0.9
46,5,7,2.302710915527344,0.18926,9.798804998397827,69.1451256275177,0.1919,0.001,256,0.9
47,5,8,2.294607344970703,0.18942,9.872600078582764,79.05260562896729,0.1901,0.001,256,0.9
48,5,9,2.266636959228516,0.1876,10.088717699050903,89.1627414226532,0.189,0.001,256,0.9
49,5,10,2.160278603515625,0.19848,10.038784503936768,99.21350860595703,0.2359,0.001,256,0.9
50,6,1,2.3111702978515627,0.1,9.42978310585022,10.019160747528076,0.1,0.001,512,0.9
51,6,2,2.3103856469726565,0.1,9.652358293533325,19.68448519706726,0.1,0.001,512,0.9
52,6,3,2.3097268408203124,0.09992,9.452717781066895,29.151150226593018,0.1001,0.001,512,0.9
53,6,4,2.3091077954101564,0.09988,9.448632717132568,38.613765239715576,0.1003,0.001,512,0.9
54,6,5,2.308319228515625,0.1076,9.428783416748047,48.05551600456238,0.1231,0.001,512,0.9
55,6,6,2.3073407470703127,0.13336,9.618276596069336,57.694740772247314,0.1419,0.001,512,0.9
56,6,7,2.3061450830078125,0.13952,9.395883798599243,67.11956429481506,0.1331,0.001,512,0.9
57,6,8,2.3044998828125,0.13056,9.529842376708984,76.68827629089355,0.123,0.001,512,0.9
58,6,9,2.3022463916015625,0.12358,9.452739953994751,86.16495442390442,0.1216,0.001,512,0.9
