,run,epoch,loss,train_accuracy,epoch duration,run duration,test_accuracy,total parameters,lr,batch_size,momentum,l1_oc,filter_multiplier,kernel_size,stride,dropout_rate
0,1,1,1.5652120352172851,0.42652,42.249141216278076,44.00544595718384,0.5494,1506430,0.01,128,0.9,32,2,3,1,0.1
1,1,2,1.1007562724304198,0.60918,42.36069631576538,86.38708758354187,0.6498,1506430,0.01,128,0.9,32,2,3,1,0.1
2,1,3,0.9306272755432129,0.67444,40.77648949623108,127.18351411819458,0.6885,1506430,0.01,128,0.9,32,2,3,1,0.1
3,1,4,0.8325368081665039,0.7104,40.93362617492676,168.13221430778503,0.7085,1506430,0.01,128,0.9,32,2,3,1,0.1
4,1,5,0.76151767868042,0.73602,41.66962695121765,209.81876182556152,0.7396,1506430,0.01,128,0.9,32,2,3,1,0.1
5,1,6,0.702766421585083,0.75642,41.35819721221924,251.19191598892212,0.7494,1506430,0.01,128,0.9,32,2,3,1,0.1
6,1,7,0.6647879582977295,0.76948,41.39043736457825,292.59836888313293,0.762,1506430,0.01,128,0.9,32,2,3,1,0.1
7,1,8,0.633143127822876,0.78268,41.50238513946533,334.1186742782593,0.7733,1506430,0.01,128,0.9,32,2,3,1,0.1
8,1,9,0.6037806452178955,0.78966,41.19164824485779,375.3272874355316,0.7859,1506430,0.01,128,0.9,32,2,3,1,0.1
9,1,10,0.5832830462646484,0.79926,41.49557590484619,416.8418126106262,0.7878,1506430,0.01,128,0.9,32,2,3,1,0.1
10,1,11,0.5587911338806152,0.81012,41.162604570388794,458.0194079875946,0.7937,1506430,0.01,128,0.9,32,2,3,1,0.1
11,1,12,0.5347917483520508,0.81668,41.24842619895935,499.28239822387695,0.7911,1506430,0.01,128,0.9,32,2,3,1,0.1
12,1,13,0.5209714356231689,0.82144,41.09809064865112,540.3964576721191,0.8,1506430,0.01,128,0.9,32,2,3,1,0.1
13,1,14,0.5029031444549561,0.82602,40.99866080284119,581.411048412323,0.8077,1506430,0.01,128,0.9,32,2,3,1,0.1
14,1,15,0.48990674697875974,0.83144,41.162029504776,622.589681148529,0.81,1506430,0.01,128,0.9,32,2,3,1,0.1
15,1,16,0.4671059070587158,0.8387,41.20403861999512,663.8086850643158,0.8174,1506430,0.01,128,0.9,32,2,3,1,0.1
16,1,17,0.46132604957580564,0.84054,41.116536140441895,704.9401867389679,0.8179,1506430,0.01,128,0.9,32,2,3,1,0.1
17,1,18,0.4477103102493286,0.84512,41.18995714187622,746.1458315849304,0.8117,1506430,0.01,128,0.9,32,2,3,1,0.1
18,1,19,0.43885459175109864,0.84934,41.16857194900513,787.3303649425507,0.8149,1506430,0.01,128,0.9,32,2,3,1,0.1
19,1,20,0.4311830994796753,0.85224,41.12370300292969,828.4708487987518,0.8228,1506430,0.01,128,0.9,32,2,3,1,0.1
20,1,21,0.41287302368164064,0.85612,41.11233162879944,869.5991189479828,0.8242,1506430,0.01,128,0.9,32,2,3,1,0.1
21,1,22,0.4127916989135742,0.8572,41.09368085861206,910.7087638378143,0.8245,1506430,0.01,128,0.9,32,2,3,1,0.1
22,1,23,0.40166064216613767,0.86096,41.42452311515808,952.1482470035553,0.8253,1506430,0.01,128,0.9,32,2,3,1,0.1
23,1,24,0.3897067394256592,0.8666,41.16344475746155,993.3276188373566,0.8245,1506430,0.01,128,0.9,32,2,3,1,0.1
24,1,25,0.3830018441772461,0.86898,41.15798592567444,1034.5025656223297,0.8343,1506430,0.01,128,0.9,32,2,3,1,0.1
25,1,26,0.37969401119232177,0.86948,41.06703758239746,1075.5860850811005,0.8382,1506430,0.01,128,0.9,32,2,3,1,0.1
26,1,27,0.37041799182891844,0.87118,40.932984828948975,1116.5350272655487,0.8374,1506430,0.01,128,0.9,32,2,3,1,0.1
27,1,28,0.3669165018081665,0.87318,41.32315754890442,1157.873033285141,0.8369,1506430,0.01,128,0.9,32,2,3,1,0.1
28,1,29,0.35609912281036377,0.87722,41.148489236831665,1199.0374529361725,0.839,1506430,0.01,128,0.9,32,2,3,1,0.1
29,1,30,0.34519442043304444,0.87952,41.05380988121033,1240.107495546341,0.8401,1506430,0.01,128,0.9,32,2,3,1,0.1
30,1,31,0.3438153765869141,0.88124,41.324100494384766,1281.4495298862457,0.8347,1506430,0.01,128,0.9,32,2,3,1,0.1
31,1,32,0.3360239858627319,0.884,41.257381200790405,1322.7228426933289,0.8358,1506430,0.01,128,0.9,32,2,3,1,0.1
32,1,33,0.3317730774307251,0.88662,41.311121702194214,1364.049917459488,0.8389,1506430,0.01,128,0.9,32,2,3,1,0.1
33,1,34,0.32533064556121827,0.88616,41.067320823669434,1405.132161617279,0.8416,1506430,0.01,128,0.9,32,2,3,1,0.1
34,1,35,0.3182596611785889,0.8906,41.00745606422424,1446.1565403938293,0.8438,1506430,0.01,128,0.9,32,2,3,1,0.1
35,1,36,0.3134068037414551,0.8913,41.045356035232544,1487.2169711589813,0.8437,1506430,0.01,128,0.9,32,2,3,1,0.1
36,1,37,0.30783877254486086,0.8932,41.13539171218872,1528.3690237998962,0.8419,1506430,0.01,128,0.9,32,2,3,1,0.1
37,1,38,0.30108857769012454,0.8959,41.07094764709473,1569.4569206237793,0.8406,1506430,0.01,128,0.9,32,2,3,1,0.1
38,1,39,0.2999686783218384,0.8955,41.13311171531677,1610.6059758663177,0.8419,1506430,0.01,128,0.9,32,2,3,1,0.1
39,1,40,0.29477929519653323,0.89844,41.03826928138733,1651.6609101295471,0.8477,1506430,0.01,128,0.9,32,2,3,1,0.1
40,1,41,0.29410833505630496,0.8981,41.03788900375366,1692.7147257328033,0.847,1506430,0.01,128,0.9,32,2,3,1,0.1
41,1,42,0.2893686741256714,0.90072,41.27756905555725,1734.0072560310364,0.8492,1506430,0.01,128,0.9,32,2,3,1,0.1
42,1,43,0.27975480266571046,0.90348,41.12683463096619,1775.1500217914581,0.8461,1506430,0.01,128,0.9,32,2,3,1,0.1
43,1,44,0.2818316172981262,0.90282,41.067230463027954,1816.2331812381744,0.8464,1506430,0.01,128,0.9,32,2,3,1,0.1
44,1,45,0.2794556775474548,0.90176,41.082889795303345,1857.3320441246033,0.8446,1506430,0.01,128,0.9,32,2,3,1,0.1
45,1,46,0.26940707597732544,0.90612,41.047163248062134,1898.3951382637024,0.8515,1506430,0.01,128,0.9,32,2,3,1,0.1
46,1,47,0.2677795976066589,0.9086,41.18251156806946,1939.5932896137238,0.8508,1506430,0.01,128,0.9,32,2,3,1,0.1
47,1,48,0.2629698474121094,0.90822,41.07096791267395,1980.6802155971527,0.8508,1506430,0.01,128,0.9,32,2,3,1,0.1
48,1,49,0.2632119132232666,0.90836,41.033185720443726,2021.7293033599854,0.8485,1506430,0.01,128,0.9,32,2,3,1,0.1
