,run,epoch,loss,train_accuracy,epoch duration,run duration,test_accuracy,total parameters,lr,batch_size,momentum,weight_decay,pretrained
0,1,1,1.005739772,0.7016,453.7078149,457.3693535,0.8538,11181642,0.0001,32,0.9,0.001,"[True, 'all']"
1,1,2,0.418908291,0.87234,458.7487414,950.8214562,0.8985,11181642,0.0001,32,0.9,0.001,"[True, 'all']"
2,1,3,0.303009277,0.90624,459.4793372,1445.136689,0.9135,11181642,0.0001,32,0.9,0.001,"[True, 'all']"
3,1,4,0.244639523,0.9245,464.0504882,1943.95918,0.9198,11181642,0.0001,32,0.9,0.001,"[True, 'all']"
4,1,5,0.20459856,0.93636,461.2620296,2441.317239,0.9246,11181642,0.0001,32,0.9,0.001,"[True, 'all']"
5,1,6,0.173603449,0.9476,460.0785313,2936.299423,0.9281,11181642,0.0001,32,0.9,0.001,"[True, 'all']"
6,1,7,0.148025038,0.95738,460.6169009,3431.584605,0.9311,11181642,0.0001,32,0.9,0.001,"[True, 'all']"
7,1,8,0.126119976,0.96558,463.4521039,3931.048829,0.9327,11181642,0.0001,32,0.9,0.001,"[True, 'all']"
8,1,9,0.10724953,0.97322,462.7592521,4429.668172,0.9333,11181642,0.0001,32,0.9,0.001,"[True, 'all']"
9,1,10,0.090902359,0.97914,461.8610239,4926.733694,0.9346,11181642,0.0001,32,0.9,0.001,"[True, 'all']"
10,1,11,0.076882851,0.98436,463.1597247,5425.177056,0.9355,11181642,0.0001,32,0.9,0.001,"[True, 'all']"
11,1,12,0.064911988,0.98844,462.3331926,5923.145941,0.9361,11181642,0.0001,32,0.9,0.001,"[True, 'all']"
12,1,13,0.054801002,0.992,461.9794455,6419.463012,0.9365,11181642,0.0001,32,0.9,0.001,"[True, 'all']"
13,1,14,0.046378417,0.99476,463.0461371,6917.371911,0.9361,11181642,0.0001,32,0.9,0.001,"[True, 'all']"
14,1,15,0.039369962,0.9963,461.2164891,7413.389326,0.9359,11181642,0.0001,32,0.9,0.001,"[True, 'all']"
15,2,1,0.403498727,0.86706,461.674372,464.2385423,0.9332,11181642,0.001,32,0.9,0.001,"[True, 'all']"
16,2,2,0.129328901,0.96036,461.1273239,960.4071491,0.9392,11181642,0.001,32,0.9,0.001,"[True, 'all']"
17,2,3,0.044208949,0.99138,463.313221,1458.874351,0.9471,11181642,0.001,32,0.9,0.001,"[True, 'all']"
18,2,4,0.014337938,0.99904,462.8818309,1957.030282,0.9467,11181642,0.001,32,0.9,0.001,"[True, 'all']"
19,2,5,0.006035966,0.99996,462.5352249,2454.458186,0.9486,11181642,0.001,32,0.9,0.001,"[True, 'all']"
20,2,6,0.003683432,1,463.9448378,2953.101224,0.9496,11181642,0.001,32,0.9,0.001,"[True, 'all']"
21,2,7,0.002807468,1,549.980932,3547.754445,0.95,11181642,0.001,32,0.9,0.001,"[True, 'all']"
22,2,8,0.002357373,1,515.4587386,4104.853799,0.9502,11181642,0.001,32,0.9,0.001,"[True, 'all']"
23,2,9,0.00208229,1,470.9494596,4613.058619,0.9503,11181642,0.001,32,0.9,0.001,"[True, 'all']"
24,2,10,0.001898691,1,475.4464607,5125.573941,0.9499,11181642,0.001,32,0.9,0.001,"[True, 'all']"
25,2,11,0.00176977,1,475.2875192,5638.193618,0.9499,11181642,0.001,32,0.9,0.001,"[True, 'all']"
26,2,12,0.001676678,1,475.8278766,6151.128253,0.9497,11181642,0.001,32,0.9,0.001,"[True, 'all']"
27,2,13,0.0016074,1,467.6503479,6656.019003,0.9497,11181642,0.001,32,0.9,0.001,"[True, 'all']"
28,2,14,0.001554787,1,468.9130023,7161.820349,0.9498,11181642,0.001,32,0.9,0.001,"[True, 'all']"
29,2,15,0.001514731,1,473.5475106,7673.407022,0.9497,11181642,0.001,32,0.9,0.001,"[True, 'all']"
