,run,epoch,loss,train_accuracy,epoch duration,run duration,test_accuracy,total parameters,lr,batch_size,momentum,weight_decay,pretrained
0,1,1,2.1746731,0.197,39.73356581,43.30118823,0.1036,11181642,0.01,64,0.9,0.005,[False]
1,1,2,2.128704256,0.2732,39.55249548,116.723453,0.1673,11181642,0.01,64,0.9,0.005,[False]
2,1,3,1.881196248,0.3378,39.49171305,189.9230199,0.2072,11181642,0.01,64,0.9,0.005,[False]
3,1,4,1.769762872,0.3788,39.45841026,263.2319036,0.2768,11181642,0.01,64,0.9,0.005,[False]
4,1,5,1.607250815,0.4278,39.54615188,336.8519309,0.3321,11181642,0.01,64,0.9,0.005,[False]
5,1,6,1.449689146,0.4908,39.35800529,410.3206863,0.4037,11181642,0.01,64,0.9,0.005,[False]
6,1,7,1.284182828,0.5518,39.28863025,483.1865063,0.4339,11181642,0.01,64,0.9,0.005,[False]
7,1,8,1.203566808,0.5746,39.18131685,555.7734959,0.4554,11181642,0.01,64,0.9,0.005,[False]
8,1,9,1.099155929,0.6224,39.25345945,628.511435,0.4704,11181642,0.01,64,0.9,0.005,[False]
9,1,10,0.953345813,0.6764,39.36409283,701.0916975,0.4576,11181642,0.01,64,0.9,0.005,[False]
10,1,11,0.778385805,0.7462,39.18943548,773.2998295,0.4555,11181642,0.01,64,0.9,0.005,[False]
11,1,12,0.622676604,0.7958,39.17995644,845.5124452,0.4623,11181642,0.01,64,0.9,0.005,[False]
12,1,13,0.580297429,0.8172,39.21403933,917.9237061,0.4963,11181642,0.01,64,0.9,0.005,[False]
13,1,14,0.470224615,0.8456,39.22484541,990.4375265,0.5067,11181642,0.01,64,0.9,0.005,[False]
14,1,15,0.362920659,0.8916,39.25478506,1063.104955,0.5081,11181642,0.01,64,0.9,0.005,[False]
15,1,16,0.259575318,0.9392,39.18857908,1135.708171,0.5376,11181642,0.01,64,0.9,0.005,[False]
16,1,17,0.212944575,0.9532,39.18774414,1208.067204,0.5289,11181642,0.01,64,0.9,0.005,[False]
17,1,18,0.174689256,0.964,39.2567718,1280.441409,0.5454,11181642,0.01,64,0.9,0.005,[False]
18,1,19,0.141287515,0.9732,39.23670888,1352.7397,0.5688,11181642,0.01,64,0.9,0.005,[False]
19,1,20,0.098343862,0.9862,39.20789671,1424.876507,0.5683,11181642,0.01,64,0.9,0.005,[False]
20,1,21,0.059058343,0.9942,39.21726561,1497.090528,0.573,11181642,0.01,64,0.9,0.005,[False]
21,1,22,0.042140998,0.9972,39.17955923,1569.292774,0.5864,11181642,0.01,64,0.9,0.005,[False]
22,1,23,0.025281971,0.9998,39.1504283,1641.539691,0.5935,11181642,0.01,64,0.9,0.005,[False]
23,1,24,0.01757571,0.9998,39.11035514,1713.601923,0.5945,11181642,0.01,64,0.9,0.005,[False]
24,1,25,0.013943042,1,39.14198256,1785.706752,0.598,11181642,0.01,64,0.9,0.005,[False]
25,1,26,0.012953495,1,39.13540173,1857.761117,0.5955,11181642,0.01,64,0.9,0.005,[False]
26,1,27,0.013025014,1,39.15668058,1930.037213,0.5949,11181642,0.01,64,0.9,0.005,[False]
27,1,28,0.014501569,1,39.08225274,2002.201992,0.5928,11181642,0.01,64,0.9,0.005,[False]
28,1,29,0.015805901,1,39.06709695,2074.317704,0.592,11181642,0.01,64,0.9,0.005,[False]
29,1,30,0.017837896,1,39.06763124,2146.378075,0.589,11181642,0.01,64,0.9,0.005,[False]
30,1,31,0.018065209,1,39.10722971,2218.390274,0.59,11181642,0.01,64,0.9,0.005,[False]
31,1,32,0.013814383,1,39.12510419,2290.619819,0.5849,11181642,0.01,64,0.9,0.005,[False]
32,1,33,0.01369889,1,39.11154723,2362.757045,0.5847,11181642,0.01,64,0.9,0.005,[False]
33,1,34,0.013729815,1,39.09450269,2434.863291,0.5852,11181642,0.01,64,0.9,0.005,[False]
34,1,35,0.013806113,1,39.1335597,2506.934764,0.5852,11181642,0.01,64,0.9,0.005,[False]
35,1,36,0.013898669,1,39.20217371,2579.069837,0.5858,11181642,0.01,64,0.9,0.005,[False]
