,run,epoch,loss,train_accuracy,epoch duration,run duration,test_accuracy,total parameters,lr,batch_size,momentum,weight_decay,p,num_drop_layers,pretrained
0,1,1,1.297954027,0.5774,42.43458223,46.07525229,0.7578,11181642,0.001,32,0.9,0.001,0.1,1,"[True, 'all']"
1,1,2,0.681963456,0.7584,40.87134695,121.3592415,0.6294,11181642,0.001,32,0.9,0.001,0.1,1,"[True, 'all']"
2,1,3,0.419679977,0.8498,40.91574931,194.9845779,0.7816,11181642,0.001,32,0.9,0.001,0.1,1,"[True, 'all']"
3,1,4,0.319178363,0.8866,40.75983071,268.7701583,0.8128,11181642,0.001,32,0.9,0.001,0.1,1,"[True, 'all']"
4,1,5,0.19736105,0.9306,40.96818471,342.9263432,0.8176,11181642,0.001,32,0.9,0.001,0.1,1,"[True, 'all']"
5,1,6,0.166655298,0.9428,40.81160092,417.0419099,0.8165,11181642,0.001,32,0.9,0.001,0.1,1,"[True, 'all']"
6,1,7,0.112673569,0.9594,40.81339431,491.1692402,0.8299,11181642,0.001,32,0.9,0.001,0.1,1,"[True, 'all']"
7,1,8,0.095817637,0.968,40.9021585,565.5399637,0.8585,11181642,0.001,32,0.9,0.001,0.1,1,"[True, 'all']"
8,1,9,0.039803583,0.9886,40.87356853,639.7324269,0.8863,11181642,0.001,32,0.9,0.001,0.1,1,"[True, 'all']"
9,1,10,0.040424354,0.9876,40.84792423,714.0029967,0.8829,11181642,0.001,32,0.9,0.001,0.1,1,"[True, 'all']"
10,1,11,0.018416157,0.9944,40.7819078,788.2376175,0.8842,11181642,0.001,32,0.9,0.001,0.1,1,"[True, 'all']"
11,1,12,0.011976961,0.997,40.86252141,863.591224,0.891,11181642,0.001,32,0.9,0.001,0.1,1,"[True, 'all']"
12,1,13,0.013826599,0.996,40.85189652,937.9096496,0.8918,11181642,0.001,32,0.9,0.001,0.1,1,"[True, 'all']"
13,1,14,0.007474524,0.998,40.80997753,1012.419532,0.8801,11181642,0.001,32,0.9,0.001,0.1,1,"[True, 'all']"
14,1,15,0.002948497,0.9996,40.79450679,1086.901838,0.8971,11181642,0.001,32,0.9,0.001,0.1,1,"[True, 'all']"
15,1,16,0.00230199,0.9994,40.82863879,1161.376497,0.9002,11181642,0.001,32,0.9,0.001,0.1,1,"[True, 'all']"
16,1,17,0.000917062,1,40.80465102,1235.710477,0.9033,11181642,0.001,32,0.9,0.001,0.1,1,"[True, 'all']"
17,1,18,0.00045613,1,40.83060837,1310.137816,0.9029,11181642,0.001,32,0.9,0.001,0.1,1,"[True, 'all']"
18,1,19,0.000361107,1,40.80925179,1384.395588,0.9005,11181642,0.001,32,0.9,0.001,0.1,1,"[True, 'all']"
19,1,20,0.000281218,1,40.82591105,1458.758631,0.9025,11181642,0.001,32,0.9,0.001,0.1,1,"[True, 'all']"
20,1,21,0.000254952,1,40.80166936,1533.305729,0.9026,11181642,0.001,32,0.9,0.001,0.1,1,"[True, 'all']"
21,1,22,0.000251218,1,40.8598702,1607.648943,0.9026,11181642,0.001,32,0.9,0.001,0.1,1,"[True, 'all']"
22,1,23,0.000243752,1,40.85672903,1682.014067,0.9028,11181642,0.001,32,0.9,0.001,0.1,1,"[True, 'all']"
23,1,24,0.000231836,1,40.86316586,1756.480377,0.904,11181642,0.001,32,0.9,0.001,0.1,1,"[True, 'all']"
24,1,25,0.000263652,1,40.91588163,1830.975366,0.9029,11181642,0.001,32,0.9,0.001,0.1,1,"[True, 'all']"
25,1,26,0.000261062,1,40.86321139,1905.791822,0.9027,11181642,0.001,32,0.9,0.001,0.1,1,"[True, 'all']"
